longitude,latitude
1101715.284,-721842.2939
1101715.284,-721842.2939
1101715.284,-721842.2939
1101715.284,-721842.2939
1101715.284,-721842.2939
1103623.628,-726878.0624
1103918.61,-726655.5977
1120740.619,-729809.9879
1110920.896,-729901.4738
1294370.791,-844475.7475
1297642.672,-819698.1828
1309533.6,-815689.1132
1291726.014,-807702.8694
1261479.915,-795817.0527
1053233.02,-722630.5623
1055491.443,-712785.1591
116675.3432,-830425.3464
1210267.701,-663945.0107
700165.3637,-419119.1056
700209.6822,-419672.4033
1125380.633,-493304.1931
1209996.45,-714203.1496
1350959.762,-1018648.784
1354236.007,-1018174.354
1328597.539,-1020110.742
1331599.317,-1017715.432
1329660.134,-1021704.565
1382713.448,-840824.0517
1345205.819,-842675.2346
1345205.819,-842675.2346
1316965.473,-842823.1496
1378066.053,-826555.4926
1385046.974,-823671.5653
1385485.024,-823530.5331
1380681.551,-805658.2522
1369338.706,-850294.9102
676076.9805,-42120.53356
676083.1188,-42196.47499
1580622.894,-1036806.695
1568788.391,-1036688.655
1576020.304,-1035896.951
-292482.2837,-939947.1662
1592865.411,-1170113.148
1592865.411,-1170113.148
1803200.847,544365.1632
-82821.62376,-759294.3135
181301.482,-480198.3657
757514.362,-778045.7887
748204.6319,-746022.5111
748260.4005,-715782.3721
748163.7939,-745527.5581
700074.0287,-374853.8093
-145597.3751,-420077.9559
51144.25949,-791008.6027
40220.22804,-801573.6009
219553.2887,-747752.5907
219553.2887,-747752.5907
1794328.988,444609.8343
1794328.988,444609.8343
1831927.598,456613.6233
1819957.203,465827.4446
1819021.388,488615.6021
1819021.388,488615.6021
1819021.388,488615.6021
1825141.802,499626.8359
1831819.311,457078.5602
1196645.049,-416358.6676
869287.5866,-739926.7941
904841.7129,-731235.3809
873081.0418,-734353.4572
896172.3643,-724653.9321
902150.8322,-720337.1974
899624.2417,-715228.1578
899532.1643,-713338.588
898919.625,-708149.7711
879858.6406,-689808.8472
664215.137,-428081.031
662174.2356,-421511.9742
664215.137,-428081.031
662680.5344,-428197.3847
1431086.502,-887521.5975
1431851.635,-881806.5812
1444569.885,-879819.0122
1419931.666,-880183.7773
1412752.847,-865730.9488
1414587.048,-877015.3134
1489144.636,-973414.4486
1474314.527,-945975.6303
1429198.043,-928826.4497
1412924.775,-920148.2399
1346324.161,-924091.0046
512343.2699,344610.6509
1194392.759,-232431.8284
1367134.956,-716100.5027
1443085.558,-986258.4846
1439258.38,-983129.7773
